,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
0,1054-08,Меры твердости эталонные,,МТР-1,МТР,,,"ОАО ""Точприбор"", г.Иваново",2020-01-17T00:00:00Z,2008-01054-08.pdf
1,44121-10,Сигнализаторы загазованности природным газом,,СЗ-1С,СЗ-1С,,,"ООО ""Центр Инновационных технологий-Плюс"" (ЦИТ-Плюс), г.Саратов",2020-01-31T00:00:00Z,2020-44121-10.pdf
2,48026-11,Весы лабораторные,,модификации BK-1500.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-03-04T00:00:00Z,2021-48026-11.pdf
3,56018-13,Измерители сопротивления изоляции цифровые,,DT-5505,DT,,,"Фирма ""Shenzhen Everbest Machinery Industry Co., Ltd."", Китай",2020-03-05T00:00:00Z,2013-56018-13.pdf
4,57564-14,Трансформаторы тока,,"ТШП-0,66М","ТШП-0,66М",,,"ОАО ""Армавирский электротехнический завод"", г.Армавир",2020-03-06T00:00:00Z,2014-57564-14.pdf
5,48026-11,Весы лабораторные,,модификации ВК-300,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-03-06T00:00:00Z,2021-48026-11.pdf
6,48026-11,Весы лабораторные,,нет,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-03-17T00:00:00Z,2021-48026-11.pdf
7,22850-11,Дозиметры индивидуальные рентгеновского и гамма-излучений,,ДКГ-РМ1621,ДКГ-РМ1621,,,"ООО ""Полимастер"", Беларусь, г.Минск",2020-03-26T00:00:00Z,2011-22850-11.pdf
8,68997-17,Сигнализаторы загазованности комбинированные,,Нет модификации,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2020-04-02T00:00:00Z,2017-68997-17.pdf
9,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,Drivesafe II,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-04-17T00:00:00Z,2016-53543-13.pdf
10,48026-11,Весы лабораторные,,ВК-1500,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-05-21T00:00:00Z,2021-48026-11.pdf
11,48026-11,Весы лабораторные,,ВК-300,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-05-29T00:00:00Z,2021-48026-11.pdf
12,48026-11,Весы лабораторные,,ВК-150,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-03T00:00:00Z,2021-48026-11.pdf
13,48026-11,Весы лабораторные,,ВК-3000.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-04T00:00:00Z,2021-48026-11.pdf
14,48026-11,Весы лабораторные,,ВК-300.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-04T00:00:00Z,2021-48026-11.pdf
15,34127-07,pH-метры,,Эксперт-pH,ЭКСПЕРТ-pH,,,"ООО ""Эконикс-Эксперт"", г.Москва",2020-06-04T00:00:00Z,2018-34127-07.pdf
16,49149-12,Амперметры лабораторные,,Э536М,"Э535М, Э536М, Э537М, Э538М, Э539М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2020-06-04T00:00:00Z,2012-49149-12.pdf
17,52647-13,Системы измерений параметров автомобильных транспортных средств в движении,,нет модификации,UnicamWIM,,,"Фирма ""CAMEA, spol. s r.o."", Чехия",2020-06-06T00:00:00Z,2020-52647-13.pdf
18,48026-11,Весы лабораторные,,ВК>,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-10T00:00:00Z,2021-48026-11.pdf
19,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦЦ-1-150-0,01",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-10T00:00:00Z,2014-57709-14.pdf
20,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-150-0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-10T00:00:00Z,2014-57709-14.pdf
21,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-II-250 -0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-11T00:00:00Z,2014-57709-14.pdf
22,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,Набор № 8 класса точности 2 с номинальным значением до 1000 мм,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-06-11T00:00:00Z,2011-21163-11.pdf
23,14447-11,Счетчики трехфазные,,нет,ЦЭ6806,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-06-15T00:00:00Z,2016-14447-11.pdf
24,57874-14,Приборы для измерений параметров света фар автотранспортных средств,,MLT 3000,MLT 3000,,,"Фирма ""MAHA Maschinenbau Haldenwang GmbH & Co. KG"", Германия",2020-06-15T00:00:00Z,2019-57874-14.pdf
25,57709-14,"Штангенциркули торговой марки ""Калиброн""",,Калиброн,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-16T00:00:00Z,2014-57709-14.pdf
26,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,Набор № 9 класса точности 2 с номинальным значением до 1000 мм,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-06-16T00:00:00Z,2011-21163-11.pdf
27,45508-10,Рефлектометры портативные цифровые,,нет,РЕЙС-105М1,,,"ООО ""НПП ""Системы тестирования электрических линий"" (СТЭЛЛ), г.Брянск",2020-06-16T00:00:00Z,2020-45508-10.pdf
28,64188-16,Индикаторы,,ИЧ10,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-06-17T00:00:00Z,2016-64188-16.pdf
29,64863-16,Газоанализаторы,,ФП34,ФП34,,,"НП ОДО ""Фармэк"", Беларусь, г.Минск",2020-06-17T00:00:00Z,2016-64863-16.pdf
30,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,нет,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-06-22T00:00:00Z,2016-53543-13.pdf
31,52456-13,Электрокардиографы,,"CardiMax, исп. FX-8222, FX-8322, FX-8322R","CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-06-22T00:00:00Z,2013-52456-13.pdf
32,70742-18,Шаблоны сварщика универсальные,,УШС-3,УШС-3,,,"ООО НТЦ ""Эксперт"", г.Москва",2020-06-23T00:00:00Z,2018-70742-18.pdf
33,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-125-0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-29T00:00:00Z,2014-57709-14.pdf
34,68349-17,Рефлектометры оптические,,MAX-730C-SM2,MAX-700C,,,"Фирма ""EXFO Inc."", Канада",2020-06-29T00:00:00Z,2021-68349-17.pdf
35,59946-15,GNSS-приемники спутниковые геодезические многочастотные,,TRIUMPH-1М,TRIUMPH-1М,,,"Фирма ""Javad GNSS Inc."", США",2020-07-02T00:00:00Z,2019-59946-15.pdf
36,48026-11,Весы лабораторные,,ВК-600,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-07-03T00:00:00Z,2021-48026-11.pdf
37,64188-16,Индикаторы,,ИЧ,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-07T00:00:00Z,2016-64188-16.pdf
38,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,Drivesafe II>,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-07-07T00:00:00Z,2016-53543-13.pdf
39,45959-10,Штангенглубиномеры,,б/м,"MarCal 30 EWR, MarCal 30 ER, MarCal 30 EWN",,,"Фирма ""Mahr GmbH Esslingen"", Германия",2020-07-08T00:00:00Z,2015-45959-10.pdf
40,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ-12/32,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-07-09T00:00:00Z,2008-27361-04.pdf
41,24204-03,Комплекты термопреобразователей сопротивления платиновых,,КТСПТВХ,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2020-07-10T00:00:00Z,2017-24204-03.pdf
42,39123-08,Вольтметры универсальные,,В7-53,В7-53,,,"Частное производственное унитарное предприятие ""Завод СВТ"", Беларусь, г.Минск",2020-07-15T00:00:00Z,2008-39123-08.pdf
43,23230-02,Калориметры бомбовые,,АБК-1,АБК-1,,,"ЗАО Инвестиционная НПК ""Русские Энергетические Технологии"" (РЭТ), г.Москва",2020-07-17T00:00:00Z,2012-23230-02.pdf
44,69363-17,Газоанализаторы портативные,,"Drager X-am 2500  (4 канала: O2, H2S, CH4, CO)",Drager X-am 2500 тип MQG 0011,,,"Фирма ""Drager Safety AG & Co. KGaA"", Германия",2020-07-17T00:00:00Z,2017-69363-17.pdf
45,49771-12,Влагомеры,,AGS 50,AGS,,,"Фирма ""AXIS"", Sp. z.o.o., Польша",2020-07-17T00:00:00Z,2017-49771-12.pdf
46,64188-16,Индикаторы,,ИЧ-3,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-17T00:00:00Z,2016-64188-16.pdf
47,64188-16,Индикаторы,,ИЧ-5,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-17T00:00:00Z,2016-64188-16.pdf
48,52095-12,Тепловизоры инфракрасные,,Fluke Ti105,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-07-20T00:00:00Z,2012-52095-12.pdf
49,64188-16,Индикаторы,,ИЧ 50,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-20T00:00:00Z,2016-64188-16.pdf
50,15492-11,Комплексы для автоматизированной интегральной оценки функционального состояния сердечно-сосудистой системы,,Кардиометр-МТ,Кардиометр-МТ,,,"АО ""Микард-Лана"", г.С.-Петербург",2020-07-20T00:00:00Z,2016-15492-11-1.pdf
51,52095-12,Тепловизоры инфракрасные,,Fluke Ti125,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-07-20T00:00:00Z,2012-52095-12.pdf
52,68997-17,Сигнализаторы загазованности комбинированные,,RGDCO0MP1,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2020-07-21T00:00:00Z,2017-68997-17.pdf
53,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-200-0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-07-21T00:00:00Z,2014-57709-14.pdf
54,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"диапазон измерений наружных размеров (0-125) мм, значение отсчета по нониусу 0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-07-21T00:00:00Z,2014-57709-14.pdf
55,48026-11,Весы лабораторные,,ВК (с НПВ до 60 кг Высокий КТ),ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-07-22T00:00:00Z,2021-48026-11.pdf
56,64863-16,Газоанализаторы,,ФП33,ФП34,,,"НП ОДО ""Фармэк"", Беларусь, г.Минск",2020-07-22T00:00:00Z,2016-64863-16.pdf
57,64188-16,Индикаторы,,"ИЧ-1 0,001",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-23T00:00:00Z,2016-64188-16.pdf
58,64188-16,Индикаторы,,ИЧ-50,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-24T00:00:00Z,2016-64188-16.pdf
59,68997-17,Сигнализаторы загазованности комбинированные,,RGD CO0 MP1,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2020-07-27T00:00:00Z,2017-68997-17.pdf
60,57709-14,"Штангенциркули торговой марки ""Калиброн""",,ШЦ-I-125-0.1,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-07-28T00:00:00Z,2014-57709-14.pdf
61,56796-14,Весы неавтоматического действия,,HL-2000i,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-07-30T00:00:00Z,2014-56796-14.pdf
62,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-07-31T00:00:00Z,2008-27361-04.pdf
63,42736-09,Клещи токовые,,Нет модификации,"ATA-2500, ATA-2502, ATK-2025, ATK-2102, ATK-2103, ATK-2105, ATK-2208",,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2020-08-03T00:00:00Z,2019-42736-09.pdf
64,67373-17,Вычислители количества теплоты,,ВКТ-9,ВКТ-9,,,"ООО ""ИВТ"", г.С.-Петербург",2020-08-05T00:00:00Z,2017-67373-17-1.pdf
65,27264-11,Тахометры,,ATT-6002,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2020-08-05T00:00:00Z,2016-27264-11.pdf
66,56344-14,Аспираторы для отбора проб воздуха,,БРИЗ-1,БРИЗ,,,"ООО ""Медицина и Экология"", г.Екатеринбург",2020-08-05T00:00:00Z,2019-56344-14.pdf
67,27264-11,Тахометры,,АТТ-6001,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2020-08-05T00:00:00Z,2016-27264-11.pdf
68,49771-12,Влагомеры,,AGS-100,AGS,,,"Фирма ""AXIS"", Sp. z.o.o., Польша",2020-08-07T00:00:00Z,2017-49771-12.pdf
69,64188-16,Индикаторы,,"ИЧЦ12,5 0,01",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-08-10T00:00:00Z,2016-64188-16.pdf
70,64188-16,Индикаторы,,ИЧ-10,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-08-10T00:00:00Z,2016-64188-16.pdf
71,64188-16,Индикаторы,,"ИЧЦ12,5 0,001",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-08-12T00:00:00Z,2016-64188-16.pdf
72,61862-15,Теплосчетчики,,Канал 1,ЛОГИКА 1961,,,"АО ""НПФ ""ЛОГИКА"", г.С.-Петербург; АО ""ТЭМ"", г.С.-Петербург",2020-08-13T00:00:00Z,2015-61862-15.pdf
73,61862-15,Теплосчетчики,,Канал 2,ЛОГИКА 1961,,,"АО ""НПФ ""ЛОГИКА"", г.С.-Петербург; АО ""ТЭМ"", г.С.-Петербург",2020-08-13T00:00:00Z,2015-61862-15.pdf
74,24204-03,Комплекты термопреобразователей сопротивления платиновых,,КТСПТВХ-В pt100,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2020-08-13T00:00:00Z,2017-24204-03.pdf
75,57709-14,"Штангенциркули торговой марки ""Калиброн""",,ШЦ-I,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-08-17T00:00:00Z,2014-57709-14.pdf
76,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,-,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-08-18T00:00:00Z,2018-30939-13.pdf
77,43584-10,Гири,,"Гири, 2000 М1",2000 М1,,,"ООО ""Инженерный центр ""АСИ"", г.Кемерово",2020-08-20T00:00:00Z,2010-43584-10.pdf
78,46659-11,Клещи электроизмерительные,,Клещи электроизмерительные APPA A9,"APPA A6, APPA A6D, APPA A6DR, APPA A7A, APPA A7D, APPA A9, APPA A10N",,,"Фирма ""APPA Technology Corporation"", Тайвань",2020-08-21T00:00:00Z,2016-46659-11.pdf
79,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-II-250-0,1",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-08-24T00:00:00Z,2014-57709-14.pdf
80,57709-14,"Штангенциркули торговой марки ""Калиброн""",,ШЦЦ-I,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-08-24T00:00:00Z,2014-57709-14.pdf
81,61703-15,Измерители артериального давления и частоты пульса автоматические,,OMRON: 711 (HEM-8712-CM2),"OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)",,,"Фирма ""Omron Healthcare Co., Ltd."", Япония; Фирма ""Omron Dalian Co., Ltd."", Китай; Фирма ""Omron Healthcare Manufacturing Vietnam Co., Ltd."", Вьетнам",2020-08-25T00:00:00Z,2017-61703-15.pdf
82,27461-09,Анализаторы гематологические,,KX-21N,KX-21N,,,"Фирма ""Sysmex Corporation"", Япония",2020-08-25T00:00:00Z,2009-27461-09.pdf
83,48026-11,Весы лабораторные,,нет модификации,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-08-25T00:00:00Z,2021-48026-11.pdf
84,39123-08,Вольтметры универсальные,,В7-53/2,В7-53,,,"Частное производственное унитарное предприятие ""Завод СВТ"", Беларусь, г.Минск",2020-08-25T00:00:00Z,2008-39123-08.pdf
85,58183-14,Термопреобразователи сопротивления многоточечные,,нет модификации,NLI,,,"Фирма ""Rosemount Tank Radar AB"", Швеция",2020-08-27T00:00:00Z,2014-58183-14.pdf
86,61877-15,Теплосчетчики,,Sanext,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2020-08-27T00:00:00Z,2015-61877-15.pdf
87,56796-14,Весы неавтоматического действия,,"HL, HT, мод. HL-200i, HL-2000i, HL-300WP, HL-1000WP, HL-3000WP/HL-3000LWP, HT-120, HT-300, HT-500, H","HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-08-27T00:00:00Z,2014-56796-14.pdf
88,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,ИЧ 02,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-08-27T00:00:00Z,2016-64541-16.pdf
89,57709-14,"Штангенциркули торговой марки ""Калиброн""",,с цифровым отсчетным устройством двусторонний с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-08-27T00:00:00Z,2014-57709-14.pdf
90,48026-11,Весы лабораторные,,ВК-3000,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-08-28T00:00:00Z,2021-48026-11.pdf
91,52095-12,Тепловизоры инфракрасные,,FLUKE мод. Ti125,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-08-31T00:00:00Z,2012-52095-12.pdf
92,56018-13,Измерители сопротивления изоляции цифровые,,DT модель DT-6605,DT,,,"Фирма ""Shenzhen Everbest Machinery Industry Co., Ltd."", Китай",2020-08-31T00:00:00Z,2013-56018-13.pdf
93,61877-15,Теплосчетчики,,Sanext серии М,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2020-08-31T00:00:00Z,2015-61877-15.pdf
94,61877-15,Теплосчетчики,,нет модификации,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2020-09-01T00:00:00Z,2015-61877-15.pdf
95,68997-17,Сигнализаторы загазованности комбинированные,,Segugio RGD,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2020-09-01T00:00:00Z,2017-68997-17.pdf
96,34127-07,pH-метры,,ЭКСПЕРТ-pH,ЭКСПЕРТ-pH,,,"ООО ""Эконикс-Эксперт"", г.Москва",2020-09-01T00:00:00Z,2018-34127-07.pdf
97,57709-14,"Штангенциркули торговой марки ""Калиброн""",,-,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-01T00:00:00Z,2014-57709-14.pdf
98,62516-15,Анализаторы топлив,,Нет модификации,MINISCAN IRXpert,,,"Фирма ""Grabner Instruments Messtechnik GmbH"", Австрия",2020-09-01T00:00:00Z,2019-62516-15.pdf
99,56684-14,Весы неавтоматического действия,,нет модификации,X,,,"Фирма ""Mettler-Toledo AG"", Швейцария",2020-09-01T00:00:00Z,2014-56684-14.pdf
100,201-49,Гири условные,,ГС-1кг,ГС,,,"Завод № 171, Украина, г.Харьков",2020-09-02T00:00:00Z,2021-00201-49.pdf
101,52456-13,Электрокардиографы,,FX-8322,"CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-09-03T00:00:00Z,2013-52456-13.pdf
102,48026-11,Весы лабораторные,,"ВК, модификации ВК-300",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-03T00:00:00Z,2021-48026-11.pdf
103,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-29 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
104,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-20.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
105,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-9 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
106,34127-07,pH-метры,,"ЭКСПЕРТ- рН,",ЭКСПЕРТ-pH,,,"ООО ""Эконикс-Эксперт"", г.Москва",2020-09-04T00:00:00Z,2018-34127-07.pdf
107,57709-14,"Штангенциркули торговой марки ""Калиброн""",,Нет модификации,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-04T00:00:00Z,2014-57709-14.pdf
108,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-23 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
109,48026-11,Весы лабораторные,,модификация ВК-1500,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-04T00:00:00Z,2021-48026-11.pdf
110,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-11.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
111,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-20-2 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
112,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-2.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-04T00:00:00Z,2017-70106-17.pdf
113,35950-07,Магнитометры трехкомпонентные малогабаритные,,Нет модификации,МТМ-01,,,"ООО ""НТМ-Защита"", г.Москва",2020-09-04T00:00:00Z,2017-35950-07.pdf
114,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-09-05T00:00:00Z,2008-27361-04.pdf
115,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-05T00:00:00Z,2017-70106-17.pdf
116,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-22 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-05T00:00:00Z,2017-70106-17.pdf
117,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-7 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-05T00:00:00Z,2017-70106-17.pdf
118,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ 90-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-09-05T00:00:00Z,2008-27361-04.pdf
119,64863-16,Газоанализаторы,,Нет модификации,ФП34,,,"НП ОДО ""Фармэк"", Беларусь, г.Минск",2020-09-07T00:00:00Z,2016-64863-16.pdf
120,12156-12,Дозиметры,,ДБГ-06Т,ДБГ-06Т,,,"ОАО ""Механический завод"", г.С.-Петербург",2020-09-07T00:00:00Z,2012-12156-12.pdf
121,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-IIIМ-4.2 УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-07T00:00:00Z,2017-70106-17.pdf
122,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-3.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-07T00:00:00Z,2017-70106-17.pdf
123,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-III-4.1 УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-07T00:00:00Z,2017-70106-17.pdf
124,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-III-2.1 УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-07T00:00:00Z,2017-70106-17.pdf
125,52095-12,Тепловизоры инфракрасные,,нет модификации,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-09-07T00:00:00Z,2012-52095-12.pdf
